id,raid_day_name,player,item
1,BWL 10,Trickypotato,Bloodfang Bracers
2,BWL 10,Celery,Stormrage Bracers
3,BWL 10,Thethumb,Mantle of the Blackwing Cabal
4,BWL 10,Jameshiggins,Helm of Endless Rage
5,BWL 10,Kyir,Waistband of Wrath
6,BWL 10,Flanigans,Dragonstalker's Belt
7,BWL 10,Humanrogue,Venomous Totem
8,BWL 10,Kyir,Sabatons of Wrath
9,BWL 10,Braulio,Firemaw's Clutch
10,BWL 10,Skuzz,Gauntlets of Wrath
11,BWL 10,Humanrogue,Bloodfang Gloves
12,BWL 10,Warlox,Ebony Flame Gloves
13,BWL 10,Braulio,Netherwind Gloves
14,BWL 10,Kyir,Styleen's Impeding Scarab
15,BWL 10,Stalfos,"Ashjre'thul, Crossbow of Smiting"
16,BWL 10,Jdiesel,Empowered Leggings
17,BWL 10,Galbraith,Stormrage Pauldrons
18,BWL 10,Galbraith,Stormrage Chestguard
19,BWL 10,Beargyll,Dragonstalker's Breastplate
20,BWL 10,Braulio,Cloak of the Brood Lord
21,BWL 10,Toons,Head of Nefarian
22,BWL 11,Stalfos,Dragonstalker's Bracers
23,BWL 11,Miniwheats,Bindings of Transcendence
24,BWL 11,Trickypotato,Dragonfang Blade
25,BWL 11,Toons,Bloodfang Belt
26,BWL 11,Skuzz,Lifegiving Gem
27,BWL 11,Beargyll,Dragonstalker's Greaves
28,BWL 11,Matsfan,Stormrage Boots
29,BWL 11,Scrubzilla,Gloves of Rapid Evolution
30,BWL 11,Beefdumper,Cloak of Firemaw
31,BWL 11,Skuzz,Draconic Avenger
32,BWL 11,Kraatom,Aegis of Preservation
33,BWL 11,Toons,Bloodfang Gloves
34,BWL 11,Rijndael,Rejuvenating Gem
35,BWL 11,Celery,Circle of Applied Force
36,BWL 11,Gavitor,Empowered Leggings
37,BWL 11,Glorpy,Pauldrons of Transcendence
38,BWL 11,Madfamous,"Mish'undare, Circlet of the Mind Flayer"
39,BWL 11,Toons,Bloodfang Chestpiece
40,BWL 11,Flanigans,Head of Nefarian
41,BWL 12,Humanrogue,Bloodfang Bracers
42,BWL 12,Dbol,Netherwind Bindings
43,BWL 12,Trickypotato,Bloodfang Belt
44,BWL 12,Darenis,Helm of Endless Rage
45,BWL 12,Toons,Bloodfang Boots
46,BWL 12,Stebert,Nemesis Boots
47,BWL 12,Kyir,Lifegiving Gem
48,BWL 12,Stalfos,Dragonstalker's Gauntlets
49,BWL 12,Nightmagic,Aegis of Preservation
50,BWL 12,Darenis,Herald of Woe
51,BWL 12,Ididntdoit,Elementium Reinforced Bulwark
52,BWL 12,Celery,Elementium Threaded Cloak
53,BWL 12,Dbol,Netherwind Mantle
54,BWL 12,Gavitor,Judgement Spaulders
55,BWL 12,Prunejuice,Neltharion's Tear
56,BWL 12,Feederika,Robes of Transcendence
57,BWL 12,Trickypotato,Head of Nefarian
58,BWL 13,Scrubzilla,Bindings of Transcendence
59,BWL 13,Stalfos,Arcane Infused Gem
60,BWL 13,Valadrim,Mind Quickening Gem
61,BWL 13,Gavitor,Judgement Belt
62,BWL 13,Trickypotato,Claw of the Black Drake
63,BWL 13,Jameshiggins,Drake Fang Talisman
64,BWL 13,Gavitor,Shroud of Pure Thought
65,BWL 13,Gavitor,Drake Talon Cleaver
66,BWL 13,Feederika,Pure Elementium Band
67,BWL 13,Dbol,Cloak of the Brood Lord
68,BWL 13,Miniwheats,Robes of Transcendence
69,BWL 13,Christophe,Head of Nefarian
70,BWL 14,Kraatom,Mantle of the Blackwing Cabal
71,BWL 14,Zzoro,Bloodfang Belt
72,BWL 14,Ididntdoit,Helm of Endless Rage
73,BWL 14,Flanigans,Dragonstalker's Bracers
74,BWL 14,Trickypotato,Bloodfang Boots
75,BWL 14,Pantherk,Netherwind Boots
76,BWL 14,Celery,Black Ash Robe
77,BWL 14,Celery,Malfurion's Blessed Bulwark
78,BWL 14,Curveball,Ringo's Blizzard Boots
79,BWL 14,Brekkolu,Girdle of the Fallen Crusader
80,BWL 14,Pantherk,Netherwind Mantle
81,BWL 14,Curveball,Netherwind Mantle
82,BWL 14,Celery,Boots of the Shadow Flame
