id,name,class,role,rank,notes,wishlist_1,wishlist_2,wishlist_3,wishlist_4,wishlist_5,wishlist_6,wishlist_7,wishlist_8,wishlist_9,wishlist_10,wishlist_11,wishlist_12,wishlist_13,wishlist_14
3,Ainsley,Mage,DPS,Core Raider,,Imperial Qiraji Regalia,Neltharion's Tear,Band of Forced Concentration,,,,,,,,,,,
4,Beargyll,Hunter,DPS,Class Lead,,Jom Gabbar,Eye of C'Thun,Ring of the Godslayer,Silithid Claw,Carapace of the Old God,Imperial Qiraji Armaments,Imperial Qiraji Armaments,Belt of Never-ending Agony,Larvae of the Great Worm,,,,,
5,Beefdumper,Warrior,DPS,Core Raider,,Drake Fang Talisman,"Crul'shorukh, Edge of Chaos",Chromatic Boots,,,,,,,,,,,
6,Braulio,Mage,DPS,Veteran,,Netherwind Bindings,"Mish'undare, Circlet of the Mind Flayer",Head of Nefarian,,,,,,,,,,,
7,Brekkolu,Warrior,DPS,Inactive,,Doom's Edge,Chromatic Boots,Cloak of Draconic Might,"Ashkandi, Greatsword of the Brotherhood",Legguards of the Fallen Crusader,,,,,,,,,
8,Celery,Druid,DPS,Class Lead,T2 Chest for NR,Drake Fang Talisman,Imperial Qiraji Regalia,Mantle of Wicked Revenge,Qiraji Execution Bracers,Cloak of Concentrated Hatred,Vest of Swift Execution,,,,,,,,
9,Christophe,Paladin,DPS,Inactive,,,,,,,,,,,,,,,
10,Cui,Priest,Healer,Officer,,Scepter of the False Prophet,Rejuvenating Gem,Eye of C'Thun,Don Rigoberto's Lost Hat,Imperial Qiraji Regalia,Boots of Pure Thought,Bracelets of Royal Redemption,Cloak of Clarity,Ternary Mantle,,,,,
11,Curveball,Mage,DPS,Inactive,,,,,,,,,,,,,,,
12,Darenis,Paladin,DPS,Core Raider,,Drake Talon Pauldrons,Chromatic Boots,Hammer of Ji'zhi,Vek'lor's Diadem,Carapace of the Old God,Gauntlets of the Righteous Champion,Archimtiros' Ring of Reckoning,Cloak of Draconic Might,,,,,,
13,Dbol,Mage,DPS,Class Lead,,Sharpened Silithid Femur,Royal Scepter of Vek'lor,Eyestalk Waist Cord,Cloak of the Devoured,Qiraji Bindings of Dominance,"Mish'undare, Circlet of the Mind Flayer",,,,,,,,
14,Deathgasm,Hunter,DPS,Inactive,,,,,,,,,,,,,,,
15,Ddr,Warrior,DPS,Class Lead,,Drake Fang Talisman,"Maladath, Runed Blade of the Black Flight",Drake Talon Pauldrons,Cloak of Draconic Might,"Ashkandi, Greatsword of the Brotherhood",,,,,,,,,
16,Drstalfos,Druid,Healer,Core Raider,,Stormrage Chestguard,Rejuvenating Gem,Pendant of the Fallen Dragon,,,,,,,,,,,
17,Feederika,Priest,Healer,Inactive,,,,,,,,,,,,,,,
18,Finntrinsic,Warlock,DPS,Veteran,,,,,,,,,,,,,,,
19,Flanigans,Hunter,DPS,Core Raider,,Larvae of the Great Worm,Silithid Claw,Badge of the Swarmguard,,,,,,,,,,,
20,Galbraith,Druid,Healer,Class Lead,,Rejuvenating Gem,Pure Elementium Band,Ring of the Martyr,Cloak of Clarity,Eye of C'Thun,Creeping Vine Helm,Wasphide Gauntlets,,,,,,,
21,Gavitor,Paladin,Healer,Veteran,,Scepter of the False Prophet,"Mish'undare, Circlet of the Mind Flayer",Rejuvenating Gem,Boots of Pure Thought,,Grasp of the Old God,,,,,,,,
22,Glorpy,Priest,Healer,Core Raider,,Eye of C'Thun,Imperial Qiraji Regalia,Robes of the Guardian Saint,Rejuvenating Gem,Gloves of the Messiah,Grasp of the Old God,Don Rigoberto's Lost Hat,Cloak of Clarity,Ring of the Martyr,,,,,
23,Holybringer,Paladin,Healer,Member,,,,,,,,,,,,,,,
24,Humanrogue,Rogue,DPS,Class Lead,Needs Thunderfury,Cloak of Concentrated Hatred,Larvae of the Great Worm,Ancient Qiraji Ripper,,,,,,,,,,,
25,Ididntdoit,Warrior,Tank,Officer,,"Maladath, Runed Blade of the Black Flight",Mark of C'Thun,Gauntlets of Steadfast Determination,Imperial Qiraji Armaments,Eye of C'Thun,Cloak of the Golden Hive,Royal Qiraji Belt,,,,,,,
26,Jameshiggins,Warrior,Tank,Class Lead,T2 Chest for NR,Ouro's Intact Hide,Vek'nilash's Circlet,Elementium Reinforced Bulwark,Imperial Qiraji Armaments,Lifegiving Gem,,,,,,,,,
27,Jarem,Rogue,DPS,Veteran,,,,,,,,,,,,,,,
28,Jdiesel,Paladin,Healer,Officer,,"Mish'undare, Circlet of the Mind Flayer",Scepter of the False Prophet,Rejuvenating Gem,Pure Elementium Band,Eye of C'Thun,Bracelets of Royal Redemption,Grasp of the Old God,Cloak of Clarity,Robes of the Guardian Saint,Ring of the Martyr,,,,
29,Jebediah,Paladin,Healer,Veteran,,Scepter of the False Prophet,Rejuvenating Gem,Pure Elementium Band,Lok'amir il Romathis,Sartura's Might,Ring of the Martyr,"Mish'undare, Circlet of the Mind Flayer",Grasp of the Old God,Bracelets of Royal Redemption,Cloak of Draconic Might,,,,
30,Kaldorei,Rogue,DPS,Core Raider,DFT is nice but not necessary :(,Drake Fang Talisman,Prestor's Talisman of Connivery,Death's Sting,Belt of Never-ending Agony,Cloak of Concentrated Hatred,Ring of the Qiraji Fury,Larvae of the Great Worm,Qiraji Execution Bracers,Carapace of the Old God,Ouro's Intact Hide,Qiraji Bindings of Command,Barbed Choker,,
31,Kraatom,Priest,DPS,Core Raider,,Lok'amir il Romathis,"Mish'undare, Circlet of the Mind Flayer",Bracers of Arcane Accuracy,Eye of C'Thun,Burrower Bracers,Husk of the Old God,,,,,,,,
32,Kyir,Warrior,Tank,Officer,,Drake Fang Talisman,Drake Talon Pauldrons,Chromatic Boots,Mark of C'Thun,Carapace of the Old God,Qiraji Bindings of Command,Elementium Reinforced Bulwark,Cloak of the Golden Hive,,,,,,
33,Lathrop,Warrior,DPS,Inactive,,,,,,,,,,,,,,,
